id,title,authors,journal,month,year,publication_type
215,Introducing Entropies for Representing Program Behavior and Branch Predictor Performance ABSTRACT,"Takashi Yokota, Kanemitsu Ootsu, Takanobu Baba",,,,
216,"A linear algorithm for Camera Self-Calibration, Motion and Structure Recovery for Multi-Planar Scenes from Two Perspective Images","Gang Xu, Jun-ichi Terai, Heung-yeung Shum",,,,
217,"A linear algorithm for Camera Self-Calibration, Motion and Structure Recovery for Multi-Planar Scenes from Two Perspective Images","Gang Xu, Jun-ichi Terai, Heung-yeung Shum",,,,
218,"A Linear Algorithm for Camera Self-Calibration, Motion and Structure Recovery for Multi-Planar Scenes from Two Perspective Images.","Gang Xu, Jun-ichi Terai, Heung-Yeung Shum",,,2000,inproceedings
219,Non-functional replication management in the Corba Component Model,"Vania Marangozova, Daniel Hagimont",,,,
220,Non-functional Replication Management in the Corba Component Model.,"Vania Marangozova, Daniel Hagimont",,,2002,inproceedings
221,Non-functional replication management in the CORBA Component Model,"Vania Marangozova, Daniel Hagimont",,,,
222,Action rules mining,"Angelina A. Tzacheva, Zbigniew W. Ras",,,,
223,Action Rules Mining.,"Zbigniew W. Ras, Elzbieta Wyrzykowska, Li-Shiang Tsay",,,2009,incollection
224,Action rules mining.,"Angelina A. Tzacheva, Zbigniew W. Ras",Int. J. Intell. Syst.,,2005,article
225,A SYMBOLIC GENERALIZATION OF PROBABILITY THEORY,"Adnan Y. Darwiche, Matthew L. Ginsberg, Yoav Shoham, Ross Shachter",,,1993,
226,A Symbolic Generalization of Probability Theory,"Adnan Y. Darwiche, Matthew L. Ginsberg",,,,
227,A Symbolic Generalization of Probability Theory.,"Adnan Darwiche, Matthew L. Ginsberg",,,1992,inproceedings
228,Interior point decoding for linear vector channels,Tadashi Wadayama,,,,
229,Interior point decoding for linear vector channels based on convex optimization.,Tadashi Wadayama,,,2008,inproceedings
230,Interior Point Decoding for Linear Vector Channels,Tadashi Wadayama,CoRR,,2007,article
231,Interior point decoding for linear vector channels based on convex optimization.,Tadashi Wadayama,IEEE Transactions on Information Theory,,2010,article
232,Cutting a graph into two dissimilar halves.,"Paul Erds, Mark Goldberg, Jnos Pach, Joel Spencer",Journal of Graph Theory,,1988,article
233,CUTTING A GRAPH INTO TWO DISSIMILAR HALVES. by,"Mark Goldberg, Janos Pach, Joel Spencer",,,,
234,Cutting a Graph into Two Dissimilar Halves,"Paul Erds, Mark Goldberg, Jnos Pach, Joel Spencer",,,,
235,Some Comments on C. S. Wallace'sRandom Number Generators,Richard P,,,,
236,Some comments on C. S. Wallace's random number generators,Richard P. Brent,CoRR,,2010,article
237,Some Comments on C. S. Wallace's Random Number Generators.,Richard P. Brent,Comput. J.,,2008,article
238,Poster Abstract Secure Locations: Routing on Trust and Isolating Compromised Sensors in Location-Aware Sensor Networks,"Sapon Tanachaiwiwat, Pinalkumar Dave, Rohan Bhindwale, Ahmed Helmy",,,,
239,Secure locations: routing on trust and isolating compromised sensors in location-aware sensor networks.,"Sapon Tanachaiwiwat, Pinalkumar Dave, Rohan Bhindwale, Ahmed Helmy",,,2003,inproceedings
240,Poster Abstract: Secure Locations: Routing on Trust and Isolating Compromised Sensors in Location-aware Sensor Networks,"Sapon Tanachaiwiwat, Pinalkumar Dave, Rohan Bhindwale, Ahmed Helmy",,,,
241,Predicting Sentences using N-Gram Language Models,"Steffen Bickel, Peter Haider, Tobias Scheffer",,,,
242,Predicting Sentences using N-Gram Language Models ,"Steffen Bickel, Peter Haider, Tobias Scheffer",,,,
243,Predicting Sentences using N-Gram Language Models.,"Steffen Bickel, Peter Haider, Tobias Scheffer",,,2005,inproceedings
244,Meaning development versus predefined meanings in language evolution models,Paul Vogt,,,,
245,Meaning development versus predefined meanings in language evolution models,Paul Vogt,,,,
246,Meaning development versus predefined meanings in language evolution models.,Paul Vogt,,,2005,inproceedings
247,Meaning development versus predefined meanings in language evolution models.,Paul Vogt,,,2005,inproceedings
248,Abstract Limitations of the Even-Mansour Construction,"Joan Daemen, Laboratorium Esat",,,,
249,Limitations of the Even-Mansour Construction,"Joan Daemen, Laboratorium Esat",,,,
250,Limitations of the Even-Mansour Construction.,Joan Daemen,,,1991,inproceedings
251,On removable cycles through every edge.,"Manoel Lemos, James G. Oxley",Journal of Graph Theory,,2003,article
252,ON REMOVABLE CYCLES THROUGH EVERY EDGE,"Manoel Lemos, James Oxley",,,,
253,ON REMOVABLE CYCLES THROUGH EVERY EDGE,"Manoel Lemos, James Oxley",,,,
254,Expressiveness and Performance of Full-Text Search Languages,"Chavdar Botev, Sihem Amer-yahia, Jayavel Shanmugasundaram",,,,
255,Expressiveness and Performance of Full-Text Search Languages,"Chavdar Botev, Sihem Amer-yahia, Jayavel Shanmugasundaram",,,,
256,Expressiveness and Performance of Full-Text Search Languages,"Chavdar Botev, Sihem Amer-yahia, Jayavel Shanmugasundaram",,,,
257,Expressiveness and Performance of Full-Text Search Languages.,"Chavdar Botev, Sihem Amer-Yahia, Jayavel Shanmugasundaram",,,2006,inproceedings
258,Learning-Based SMT Processor Resource Distribution via Hill-Climbing,"Seungryul Choi, Donald Yeung",,,,
259,Learning-Based SMT Processor Resource Distribution via Hill-Climbing.,"Seungryul Choi, Donald Yeung",,,2006,inproceedings
260,Learning-Based SMT Processor Resource Distribution via Hill-Climbing,"Seungryul Choi, Donald Yeung",,,,
261,Learning-Based SMT Processor Resource Distribution via Hill-Climbing,"Seungryul Choi, Donald Yeung",,,,
262,Enforcing Privacy Using Symmetric Random Key-Set in Vehicular Networks,"Yong Xi, Kewei Sha, Weisong Shi, Loren Schwiebert",,,,
263,Enforcing Privacy Using Symmetric Random Key-Set in Vehicular Networks,"Yong Xi, Kewei Sha, Weisong Shi, Loren Schwiebert",,,,
264,Enforcing Privacy Using Symmetric Random Key-Set in Vehicular Networks.,"Yong Xi, Kewei Sha, Weisong Shi, Loren Schwiebert, Tao Zhang",,,2007,inproceedings
265,Large induced forests in sparse graphs.,"Noga Alon, Dhruv Mubayi, Robin Thomas",Journal of Graph Theory,,2001,article
266,Large induced forests in sparse graphs,"Noga Alon, Dhruv Mubayi, Robin Thomas",,,2002,
267,Large induced forests in sparse graphs,"Noga Alon, Dhruv Mubayi, Robin Thomas",,,,
268,A Multicast Routing Protocol with Multiple QoS Constraints.,"Li Layuan, Li Chunlin",,,2002,inproceedings
269,A Multicast Routing Protocol with Multiple QoS Constraints,"Li La-yuan, Li Chun-lin",,,,
270,A Multicast Routing Protocol with Multiple QoS Constraints,"Li Layuan, Li Chunlin",,,,
271,A note on complete subdivisions in digraphs of large outdegree.,"Daniela Khn, Deryk Osthus, Andrew Young",Journal of Graph Theory,,2008,article
272,A NOTE ON COMPLETE SUBDIVISIONS IN DIGRAPHS OF LARGE OUTDEGREE,"Daniela Khn, Deryk Osthus, Andrew Young",,,2006,
273,A NOTE ON COMPLETE SUBDIVISIONS IN DIGRAPHS OF LARGE OUTDEGREE,"Daniela Khn, Deryk Osthus, Andrew Young",,,,
274,A NOTE ON COMPLETE SUBDIVISIONS IN DIGRAPHS OF LARGE OUTDEGREE,"Daniela Khn, Deryk Osthus, Andrew Young",,,,
275,Circular colorings of edge-weighted graphs.,Bojan Mohar,Journal of Graph Theory,,2003,article
276,Circular colorings of edge-weighted graphs,Bojan Mohar,,,2002,
277,Circular colorings of edge-weighted graphs,Bojan Mohar,,,,
278,A New Constraint Solver for 3D Lattices and its Application to the Protein Folding Problem,"Ro Dal Pal, Agostino Dovier, Enrico Pontelli",,,,
279,A New Constraint Solver for 3D Lattices and its Application to the Protein Folding Problem,"Ro Dal Pal, Agostino Dovier, Enrico Pontelli, Universit Di Udine",,,,
280,A New Constraint Solver for 3D Lattices and Its Application to the Protein Folding Problem.,"Alessandro Dal Pal, Agostino Dovier, Enrico Pontelli",,,2005,inproceedings
281,Understanding Source Code Evolution Using Abstract Syntax Tree Matching ABSTRACT,"Iulian Neamtiu, Including Bind",,,,
282,Understanding source code evolution using abstract syntax tree matching.,"Iulian Neamtiu, Jeffrey S. Foster, Michael W. Hicks",,,2005,inproceedings
283,Understanding Source Code Evolution Using Abstract Syntax Tree Matching  ABSTRACT,"Iulian Neamtiu, Including Bind",,,,
284,Understanding source code evolution using abstract syntax tree matching.,"Iulian Neamtiu, Jeffrey S. Foster, Michael Hicks",ACM SIGSOFT Software Engineering Notes,,2005,article
285,Improving Data Cache Performance by Pre-executing Instructions Under a Cache Miss,"James Dundas, Trevor Mudge",,,1997,
286,Improving Data Cache Performance by Pre-Executing Instructions Under a Cache Miss.,"James Dundas, Trevor N. Mudge",,,1997,inproceedings
287,Improving Data Cache Performance by Pre-executing Instructions Under a Cache Miss,"James Dundas, Trevor Mudge",,,,
288,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces,"Kyu-han Kim, Yujie Zhu, Raghupathy Sivakumar",,,,
289,A receiver-centric transport protocol for mobile hosts with heterogeneous wireless interfaces.,"Hung-Yun Hsieh, Kyu-Han Kim, Yujie Zhu, Raghupathy Sivakumar",,,2003,inproceedings
290,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces  ABSTRACT,"Hung-yun Hsieh, Kyu-han Kim, Yujie Zhu, Raghupathy Sivakumar",,,,
291,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces  ABSTRACT,"Hung-yun Hsieh, Kyu-han Kim, Yujie Zhu, Raghupathy Sivakumar",,,,
292,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces.,"Kyu-Han Kim, Yujie Zhu, Raghupathy Sivakumar, Hung-Yun Hsieh",Wireless Networks,,2005,article
293,A Receiver-Centric Transport Protocol for Mobile Hosts with Heterogeneous Wireless Interfaces.,"Hung-Yun Hsieh, Kyu-Han Kim, Yujie Zhu, Raghupathy Sivakumar",Wireless Networks,,2006,article
294,FILTERING SEARCH: A NEW APPROACH TO QUERY-ANSWERING*,Bernard Chazelle,,,,
295,Filtering Search: A New Approach to Query-Answering.,Bernard Chazelle,SIAM J. Comput.,,1986,article
296,Filtering Search: A New Approach to Query-Answering,Bernard Chazelle,,,1983,inproceedings
297,Repeated Patterns in Tree Genetic Programming,"W. B. Langdon, W. Banzhaf",,,,
298,Repeated Patterns in Tree Genetic Programming,"M. Keijzer, A. Tettamanzi, M. Tomassini, J. Van Hemert, P. Collet, W. B. Langdon, W. Banzhaf",,,2005,
299,Repeated Patterns in Tree Genetic Programming,"M. Keijzer, A. Tettamanzi, M. Tomassini, J. Van Hemert, P. Collet, W. B. Langdon, W. Banzhaf",,,2005,
300,Repeated Patterns in Tree Genetic Programming.,"William B. Langdon, Wolfgang Banzhaf",,,2005,inproceedings
301,StarClass: Interactive Visual Classification Using Star Coordinates,Soon Tee Teoh,,,,
302,StarClass: Interactive Visual Classification Using Star Coordinates Soon,"Tee Teoh, Kwan-liu Ma",,,,
303,StarClass: Interactive Visual Classification Using Star Coordinates,Soon Tee Teoh,,,,
304,StarClass: Interactive Visual Classification using Star Coordinates.,"Soon Tee Teoh, Kwan-Liu Ma",,,2003,inproceedings
305,ClassMiner: Mining medical video content structure and events towards efficient access and scalable skimming *,"Xingquan Zhu A, Jianping Fan B, Walid G. Aref A, Ahmed K. Elmagarmid C",,,,
306,ClassMiner: Mining Medical Video Content Structure and Events Towards Efficient Access and Scalable Skimming.,"Xingquan Zhu, Jianping Fan, Walid G. Aref, Ahmed K. Elmagarmid",,,2002,inproceedings
307,ClassMiner: Mining medical video content structure and events towards efficient access and scalable skimming *,"Xingquan Zhu A, Jianping Fan B, Walid G. Aref A, Ahmed K. Elmagarmid C",,,,
308,Reconfigurable Component-based Middleware for Networked Embedded Systems,"Paolo Costa, Geoff Coulson, Cecilia Mascolo, Luca Mottola, Gian Pietro Picco, Stefanos Zachariadis",,,,
309,Reconfigurable Component-based Middleware for Networked Embedded Systems.,"Paolo Costa, Geoff Coulson, Cecilia Mascolo, Luca Mottola, Gian Pietro Picco, Stefanos Zachariadis",IJWIN,,2007,article
310,Reconfigurable Component-based Middleware for Networked Embedded Systems,"Paolo Costa, Geoff Coulson, Cecilia Mascolo, Luca Mottola, Gian Pietro Picco, Stefanos Zachariadis",,,,
311,Reconfigurable Component-based Middleware for Networked Embedded Systems,"Paolo Costa, Geoff Coulson, Cecilia Mascolo, Luca Mottola, Gian Pietro Picco, Stefanos Zachariadis",,,,
312,Reconfigurable Component-based Middleware for Networked Embedded Systems,"Paolo Costa, Geoff Coulson, Cecilia Mascolo, Luca Mottola, Gian Pietro Picco, Stefanos Zachariadis",,,,
313,STEREO TRACKING AND THREE-POINT/ONE-POINT ALGORITHMS  A ROBUST APPROACH IN VISUAL ODOMETRY,"Kai Ni, Frank Dellaert",,,,
314,STEREO TRACKING AND THREE-POINT/ONE-POINT ALGORITHMS  A ROBUST APPROACH IN VISUAL ODOMETRY,"Kai Ni, Frank Dellaert",,,,
315,Stereo Tracking and Three-Point/One-Point Algorithms - A Robust Approach in Visual Odometry.,"Kai Ni, Frank Dellaert",,,2006,inproceedings
316,PAID: A Probabilistic Agent-Based Intrusion Detection system,"Vaibhav Gowadia, Csilla Farkas, Marco Valtorta",,,2005,
317,PAID: A Probabilistic Agent-Based Intrusion Detection System Abstract,"Vaibhav Gowadia, Csilla Farkas, Marco Valtorta",,,,
318,PAID: A Probabilistic Agent-Based Intrusion Detection system.,"Vaibhav Gowadia, Csilla Farkas, Marco Valtorta",Computers & Security,,2005,article
319,PAID: A Probabilistic Agent-Based Intrusion Detection system,"Vaibhav Gowadia, Csilla Farkas, Marco Valtorta",,,2005,
320,On the Theory of Structural Subtyping,"Viktor Kuncak, Martin Rinard",,,2003,
321,On the Theory of Structural Subtyping,"Viktor Kuncak, Martin Rinard",,,2003,
322,On the Theory of Structural Subtyping,"Viktor Kuncak, Martin Rinard",,,,
323,On the Theory of Structural Subtyping,"Viktor Kuncak, Martin C. Rinard",CoRR,,2004,article
324,On the Theory of Structural Subtyping,"Viktor Kuncak, Martin Rinard",,,2003,
325,On the Theory of Structural Subtyping,"Viktor Kuncak, Martin Rinard",,,,
326,A Scheme for Robust Distributed Sensor Fusion Based on Average Consensus,Lin Xiao,,,,
327,A scheme for robust distributed sensor fusion based on average consensus.,"Lin Xiao, Stephen P. Boyd, Sanjay Lall",,,2005,inproceedings
328,A Scheme for Robust Distributed Sensor Fusion Based on Average Consensus,Lin Xiao,,,,
329,Benchmarking and Implementation of Probability-Based Simulations on Programmable Graphics Cards,"S. Tomov, M. Mcguigan, R. Bennett, G. Smith, J. Spiletic",,,2003,
330,"Volume xx (200y), Number z, pp. 110 Benchmarking and Implementation of Probability-Based Simulations on Programmable Graphics Cards","Stanimire Tomov, Michael Mcguigan, Robert Bennett, Gordon Smith, John Spiletic",,,,
331,Benchmarking and Implementation of Probability-Based Simulations on Programmable Graphics Cards,"Stanimire Tomov, Michael Mcguigan, Robert Bennett, Gordon Smith, John Spiletic",,,,
332,Benchmarking and Implementation of Probability-Based Simulations on Programmable Graphics Cards,"Stanimire Tomov, Michael D. McGuigan, Robert Bennett, Gordon Smith, John Spiletic",CoRR,,2003,article
333,Benchmarking and implementation of probability-based simulations on programmable graphics cards.,"Stanimire Tomov, Michael D. McGuigan, Robert Bennett, Gordon Smith, John Spiletic",Computers & Graphics,,2005,article
334,Algorithmic Analysis of the Impact of Changes on Object- Oriented Software,"Li Li, A. Jefferson Offutt",,,,
335,Algorithmic Analysis of the Impact of Changes to Object-Oriented Software.,"Li Li, A. Jefferson Offutt",,,1996,inproceedings
336,Algorithmic Analysis of the Impacts of Changes to Object-oriented Software,"Michelle Lee, A. Je Erson O Utt, Roger T. Alex",,,,
337,Algorithmic Analysis of the Impacts of Changes to Object-Oriented Software.,"Michelle Lee, A. Jefferson Offutt, Roger T. Alexander",,,2000,inproceedings
338,Algorithmic Analysis of the Impacts of Changes to Object-oriented Software,"Michelle Lee, A. Je Erson O Utt, Roger T. Alex",,,,
339,Algorithmic Analysis of the Impacts of Changes to,"Michelle Lee, A. Jefferson Offutt, Roger T. Alex",,,,
340,Efficient Support for Similarity Searches in DHT-based Peer-to-Peer Systems,Jun Gao,,,,
341,Efficient Support for Similarity Searches in DHT-Based Peer-to-Peer Systems.,"Jun Gao, Peter Steenkiste",,,2007,inproceedings
342,Efficient Support for Similarity Searches in DHT-based Peer-to-Peer Systems,Jun Gao,,,,
343,LKE: A Self-configuring Scheme for Location-aware Key Establishment in Wireless Sensor Networks,"Fang Liu, Student Member, Xiuzhen Cheng",,,,
344,Location-aware key establishment in wireless sensor networks.,"Fang Liu, Jose Manny Rivera, Xiuzhen Cheng",,,2006,inproceedings
345,Location-aware Key Establishment in Wireless Sensor Networks ABSTRACT,Fang Liu,,,,
346,LKE: A Self-Configuring Scheme for Location-Aware Key Establishment in Wireless Sensor Networks.,"Fang Liu, Xiuzhen Cheng",IEEE Transactions on Wireless Communications,,2008,article
347,Polychromatic Colorings of Plane Graphs,"Noga Alon, Robert Berke, Kevin Buchin, Maike Buchin, Pter Csorba, Saswata Shannigrahi, Bettina Speckmann",,,2007,
348,Polychromatic Colorings of Plane Graphs.,"Noga Alon, Robert Berke, Kevin Buchin, Maike Buchin, Pter Csorba, Saswata Shannigrahi, Bettina Speckmann, Philipp Zumstein",Discrete & Computational Geometry,,2009,article
349,Polychromatic colorings of plane graphs.,"Noga Alon, Robert Berke, Kevin Buchin, Maike Buchin, Pter Csorba, Saswata Shannigrahi, Bettina Speckmann, Philipp Zumstein",,,2008,inproceedings
350,Stabilization of Nonlinear Systems With Limited Information Feedback,"Daniel Liberzon, Joo P. Hespanha",,,,
351,Stabilization of Nonlinear Systems With Limited Information Feedback,"Daniel Liberzon, Joo P. Hespanha",,,,
