id,title,length,artist,album,year,language
301,Vengo a Dicer (Vengo a Decir),05:04,Andy,Vengo a Decir,1995,
302,012-Under th eTop,5m 41sec,Elliot Goldenthal,Batman Forever: Original Motion Picture Score (1995),null,Eng.
303,ピンぼけ (渋滞ぬけみちなし),00:00,高田梢枝,渋滞ぬけみちなし,2004,
304,Fui un extraño - Alianza,,Alianza,,'97,Spanish
305,"A Wand'ring Minstrel I, From ""The Mikado""",261000,Sir William Gilbert & Sir Arthur Sullivan,Golden Sounds From the Classics,,English
306,Held Hostage,186000,The Las Resort,"Oi! The Singles Collection, Volume 2",1996,English
307,Tô Com Saudade - Uma História Assim (Ao Vivo),3.917,Rodriguinho,,'09,Portuguese
308,006-Saratoga,3m 21sec,Nina Simone,Nina's Back (unknown),null,Eng.
309,We R Who We R,204000,Keha,Animal + Cannibal,2011,English
310,If I Gave My Heart to You / Once in a While / Ebb Tide / The Lamp Is Low / Where Are You / Thinking of You (30 by Ella),11:10,Ella Fitzgerald,30 by Ella,1999,
311,Domenico Scarlatti - Concerto in FaM a tre flauti e basso - 2. Allegro,152,,"Concerti e sinfonie per flauto (Noferi, Il Rossignolo - TENERANI)",1,Italian
312,005-Mechanical Advantage,4m 19sec,Deepspace 5,"Unique, Just Like Everyone Else (2005)",null,Eng.
313,In My Lifetime (My Promise to the Game in My Lifetime),04:26,Soulja Flow,My Promise to the Game in My Lifetime,2000,
314,"013-Act 2, Scene III: Recitativo - Voi quel folgio lasciate (Serse/Atalanta)",0m 11sec,Georg Friedrich Handel,Serse (Atto Secondo) (2003),null,Ita.
315,"Diamond Head (History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story)",01:57,Lost Souls,"History of Michigan Garage Bands in the 60's, Volume 1: Wheels 4: Label Story",1994,
316,Halelujá,310000,Jaromír Nohavica,PražsTká pálená,2006,Czech
317,"Gorrendously Mutilated (BBestial Machinery Discography, Volume 1)",00:52,Agoraphobic Nosebleed,"Bestial Machinery Discography, Volume 1",2005,
318,"005-Kantate, BWV 4 ""Christ lag in Todesbanden"": V. Coro Versus IV ""Es war ein wunderlicher Krieg""",2m 37sec,Johann Sebastian Bach,"Edition Bachakademie, Volume 2: Cantatas BWV 4-6 (Bach-Collegium Stuttgart feat. conductor: Hellmuth Rilling) (unknown)",null,Ger.
319,007-Yer Blooze,unknown,The Loungs,Big Wow (unknown),null,Eng.
320,018-Little Bird,unknown,The Nashville Teens,Best of the Nashville Teens 1964-1969 (1993),null,Eg.
321,Ya están aquí (Libertad / Hambre / Historia),03:06,Hablando en Plata Squad,Libertad / Hambre / Historia,2009,unknown
322,One More Time (Karneval),238933,Crystal Gayle,Best of Crystal Gayle,1993,English
323,008-L.A. Song,4m 12sec,Mohair,Small Talk (unknown),null,Enng.
324,001-Self Preservation,3m 51sec,Kutt Calhoun feat. Krizz Kaliko,Black Gold (2013),null,nEg.
325,004-Schwarze Lande,3m 33sec,Amber und Gefahrten,Bardensang (unknown),null,Ge.r
326,Perdóname - Motivando a la yal,2.817,Zion y Lennox,,'04,'04
327,Let's Do It (Let's Fall in Love) - Midnight in Paris: Music From the Motion Picture,2.965,Conal Fowkes,,'11,[Multiple languages]
328,Makin' Out With Granny,,Falling Mirror Mirror,Zen Boulders,1089,English
329,FUU... (GAME OVER) - MEGA DRIVE LAST ACTION HEROES,0.167,幡谷尚史,,'10,English
330,"[silence] (Monsters, Lullabies ... and the Occasional Flying Saucer)",00:01,Phono-Comb & Jad Fair,"Monsters, Lullabies ... and the Occasional Flying Saucer",1996,
331,Eurooppa 3 - Oppia rakastamaan,282,,Pakko Matkustaa,01,Finnish
332,Geltendes Recht - Projekt Aaskereia,6.97,Projekt Aaskereia,,,German
333,002-The Driving Blues,3m 43sec,RogeGr Manning,Roger Manning (unknown),null,Eng.
334,"Chris Liberator, KN, DJ Cunt, DJ Cydeboard & DJ 2003 - Classic Silvermin",392,,"Music for a Harder Generation, Volume 4",06,English
335,Billie Jean (Dancemania BASS #6),02:25,XL Dog,Dancemania BASS #6,,
336,"(feat. (feat. DJ OASIS, 童子-T) - 理由",,K Dub Shine,,'04,Japanese
337,Life es corta,,Látex,Recuérdame,2005,Spanish
338,"Requiem in D minor, K. 626 (Levin completion): IVa. Offertorium: ""Domine Jesu"" - Requiem & Kyrie D-Moll (Gächinger Kantorei Stuttgart, Bach-Collegium Stuttgart feat. conductor: Helmuth Rilling)",3.568,Wolfgang Amadeus Mozart,,'00,English
339,Sunflower (His Greatest Hits),02:51,Glen Campbell,His Greatest Hits,,
340,The Bensons - The Amazing Adventures of Monkey Roodle Ray,253,,2,,English
341,002-Married Woman Blues,5m 24sec,Jimmy Johnson,Peppers Hangout (unknown),null,Eng.
342,Paolo Fresu / Tutto E Il Contrario Di Tutto - Mélos,3.959,Paolo Fresu Quintet,,,
343,Ooh La La (Stay With Me: Faces Anthology),00:00,Faces,Stay With Me: Faces Anthology,2012,
344,"Lugen, die von Herzen kommen (feat. narrator Mirja Bos) (2008)",5m 35sec,Kerstin Gier,014-Kapitel 35,null,Ger.
345,Il Dorment - frannce,5.65,Altar K,,'07,jFrench
346,Images (Ultimate Nina Simone),02:52,Nina Simone,Ultimate Nina Simone,1997,
347,Georges Brassens - Le Vent,76,,Paris romantique,08,French
348,Mikko Siltala & Pasi Vainionperä - Sielussani hiljaisuus,253,,Sielussani hiljaisuus,10,Finnish
349,004-Looking for Lives,4m 31sec,Timothy James Meaney,Looking for Lives (1992),null,Eng.
350,The Rose and the Cross - Moog Indigo,2.65,Jean-Jcques Perrey,,'70,English
351,The_Paris_Sisters_-_I_Love_How_You_Love_Me,103,unknown,200_Original_Jukebox_Hits,,English
352,Symphonie No. 9: IV. Allegro con fuoco (Antonín Dvořák: Symphony No. 9 / Bedřich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra)),11:55,Antonín Dvořák,Antonín Dvořák: Symphony No. 9 / Bedřich Smetana: Die Moldau (Berliner Philharmoniker & Boston Symphony Orchestra),,
353,001-Why Did They Sell Killarney?,unknown,Joseph . Natus,Why Did They Sell Killarney? (1900),null,Eng.
354,The Triffids - Jerdacuttup Man,277,,1987-11-23: HamburgRadio,87,English
355,'s Wonderful - Great Ladies and Gents of Jazz,2.531,Sarah Vaughan,,'99,English
356,004-Toxic Jesus,3m 39sec,Skorbut,Access All Areas (2005),null,Eng.
357,Legacy in Glass,227000,Raygun Ballet,Big California,2013,English
358,So in Love With You - Share Your Love,4.233,Kenny Rogers,,'81,English
359,Harp Glissando (h),9000,Jim Rattigan,The Harp Album,,English
360,Brass Flutter Wop - Production Tools 1,0.133,Lisle Moore,,,English
361,Main Title (Alice in Wonderland),153000,Sammy Fain,Walt Disney's Alice in Wonderland,2001,English
362,Mikelote & Pipa -- Gusanos,null,,Beat Cunnilingüistas,11,Spanish
363,011-Angel of Harlem,4m 14sec,U2,"1993-07-27: Gentofte Stadion, Coxpenhagen, Denmark (unknown)",null,Eng.
364,Mökit nukkuu lumiset (Joulu),05:21,Sakari Kukko,Joulu,2003,
365,Angels Guard Thee - The Essential Dyke,5.17,Black Dyke Band,,'94,English
366,Super Bolid,390000,Jesus Raves,Jigoku,2011,English
367,001-Nineteen Ninety Seven,3m 48sec,Hypoetical,Pendulum (2010),null,Eng.
368,Pimpadelic - 5 sec silence,5,,Devils,,null
369,Σωκράτης Μάλαμας - Μιά βόλτα στα βαθιά,179,,Παραμύθια,91,Greek
370,003-It's All Over,2m 54sec,Reckless Kelly,Millican (unknown),null,Eng.
371,Ernesto Tagliaferri - Mandulinata a Napoli,175,,"Italian Popular Songs, Volume 1",,Itlaian
372,Brian Protheroe - Pinball,184,,One Hit Wonders,03,English
373,Alkohol,108000,Christian Hölbling,Helfried kommt!,2003,German
374,Vangelis - Conquest of Paradise,287,,Best of 1990 - 2000: Das Jahrzehnt,99,English
375,Genlog - Mock Moon (Erik Vee remix),140,,Club System Gold Edition,02,English
376,Perfect Spot (Jason Manns),03:10,Jason Manns,Jason Manns,,
377,006-Woman's Work,2m 24sec,Tracy Chapman,Live Performances: 1988-2000 (disc 2) (unknown),null,Eng.
378,Almost Like Being in Love - The Chronological Classics: Charlie Parker 1952-1954,2.633,Charlie Parker,,,English
379,"Johann Sebastian Bach - Doppelkonzert für 2 Violinen und Orchester D-Moll BWV 1043 (Largo Ma Non Tanto) (J. Brezina, F. Elias, Soloviolinen Carmerata Romana feat. conductor: Eugen Duvier)",432,,Classic Dreams,,German
380,3 Sided Light,218000,Solillaquists of Sound,4 Student Counsol (Running From Precedence),2002,English
381,There's a Drill Sergeant There (Marching Cadences of the U.S. Army Infantry),01:21,Sun Harbor's Chorus,Marching Cadences of the U.S. Army Infantry,2002,
382,Prelude et fugue BWV 887 (Clavier bien tempéré),10:31,Johann Sebastian Bach,Clavier bien tempéré,,
383,Apopocalyps - Flickorna i Våran Stad,235,,Nu!,92,Swedish
384,"Hans Pfitzner - Palestrina: II. Akt, V. Szene ""Darf ich die Frage stellen, warum nicht nach der Reih""",424,,Palestrina (Chor & Symphonie-Orchester des Bayerischen Rundfunks feat. conductor: Rafael Kubelik),89,German
385,Henny Arve - Data Leaks: Jungle of Corruption (30 second version),30,,Revolt,,English
386,On Inc. - Sammin' Indian,214,,The Rhythm Flavour,01,English
387,Seeed - Pressure,162,,Live,06,[Multiple languages]
388,Imperial March (Simon Preston),314707,Sir Edward Elgar,Great Organ Works,,English
389,"Life, Luv, and Pain - Stray Bullets",,Sick Jacken feat. Young Sicc,,'09,English
390,2NU - This Is Ponderous (remix),219,,Command Z,,English
391,Fire Trees (Voices of the World),03:37,Chris Gibbons,Voices of the World,,
392,"Take Away Your Rosy Lips (Gonna Rock 'n' Roll, Gonna Dance All Night)",00:00,Hardrock Gunter,"Gonna Rock 'n' Roll, Gonna Dance All Night",2000,
393,"Four Songs, Op. 13 No. 3 ""Sure on This Shining Night"" - Dover Beach (Endellion String Quartet feat. baritone: Thomas Allen, piano: Roger Vignoles)",n.a.,Samuuel Barber,,'94,English
394,013-Dead Leg (Beautiful Ones - four track demo),3m 15sec,Suede,Coming Up (2011),null,Eng.
395,Get Under It,141666,Robert Pollard,Not in My Airforce,1996,English
396,Tomi Metsäketo & Johanna Kurkela - Tahdon tanssia kanssasi,260,,Uneni kaunein: Parhaat 2005-2011,11,Finnish
397,004-Water Song,5m 14sec,Hot Tuna,Final Vinyl (1979),null,Eng.
398,Tina May & Tony Coe - April in Paris,307,,Jazz Piquant,,null
399,Sunflower - His Greatest Hits,2.862,Glen Campbell,,,English
400,Nada,365000,Robert Rich,Humidity,2000,English
401,Faith and the Muse - The Silver Circle,187,,"Annwyn, Beneath the Waves",01,English
402,004-Love & Peace =,unknown,,BEST FRIENDS (2013),null,Jap.
403,011-Wenn du gehst,4m 5sec,wingenfelder:Wingenfelder,Selbstausloser (unknown),null,Ger.
404,Funkytown (Absolute Disco: Alle Tiders Største Disco Hits),04:01,"Lipps, Inc.",Absolute Disco: Alle Tiders Største Disco Hits,2007,
405,Misty Space (Ninni Morgia Control Unit),02:28,Ninni Morgia,Ninni Morgia Control Unit,2009,
406,006-Adeptus Satanicus,4m 44sec,Manufacturer's Pride,Sound of God's Absence (2009),null,Eng.
407,Peter en de Wolf,28.293,Сергей Сергеевич Прокофьев,Peter en de Wolf,'04,Dutch
408,004-Thank You,5m 41sec,Miami Saxophone Quartet,Take Four Giant Steps (2002,null,Eng.
409,Polifónica Turolense - Kyrie (Orbis factor),90,,Canto Gregoriano y Polifonía (Disco 1),08,null
410,From Your Place on Sunset,496000,Low,Murderer,2003,English
411,Manfred Maurenbrecher - Der Weg ist lang,275,,Gegengift,02,German
412,Robots in Disguise - Turn It Up,229,,Get Rid!,06,English
413,Shotput - Psycho-Acoustic,0.817,Elliott Sharp & Zeena Parkins,,'94,English
414,Tourist Trail - Sports / Rock / Action,3.767,Kevin Jarvis,,,English
415,011-Blood and Sand,4m 29sec,Bell mer Dolls,A Tribute to Rowland S. Howard (2006),null,Eng.
416,006-Where the Girls Are,unknown,Billy Crurington,That's Just Me (unknown),null,unknown
417,013-Heartless,5m 0sec,Heart,These Dreams: Heart's Greatest Hits (1997),null,Eng.
418,Päivä kerrallaan (Patentoitu),04:17,Pate Mustajärvi,Patentoitu,2013,
419,Turning (Fathom),03:21,Glass America,Fathom,,
420,006-Ilk Nurumsun (Haram),4m 5sec,Kibariye,Kul Kedisi (1995),null,Tur.
421,Bust the World - Headquarter Blues,4.867,Bill Black,,,English
422,Tecumseh Valley (Train a Comin’),04:28,Steve Earle,Train a C omin’,1995,
423,Gravy (Antranig remix) (Big City Beats 16),03:15,Ministers De La Funk,Big City Beats 16,2012,
424,Time for Pepper - The Impossibility of Silence,1.633,Black Sun Productions,,'06,English
425,Desafinado - The Muse Of Bossa Nova,2.85,Nara Leão,,,Portuguese
426,Dr. Feelgood - I Can Tell (live),179,,All Through the City (With Wilko 1974-1977),13,English
427,Ciclo - Pasión,null,,In the Place to Ci,22,Spanish
428,Matthew Barber - The Story of Your Life,199,,The Story of Your Life,,English
429,"The Snow Maiden, Op. 12: No. 10. Melodrama - BBC Music, Volume 13, Number 4: Russian Christmas",4.639,Пётр Ильич Чайковский,,'04,English
430,Razzia - Labyrinth,244,,Labyrinth,94,German
431,011-Frank's Song,1m 56sec,Tom Waits,"The Early Years, Vol. I (1991)",null,Eng.
432,Can't Stop the Rain (Mainfield remix),436000,Cascada,The Remix Album,2006,English
433,In the Summertime (King of the Road: The Best of Roger Miller),01:48,Roger Miller,King of the Road: The Best of Roger Miller,1992,
434,009-Ljudet av ett annat hjarta,3m 54sec,Gyllne Tider,Instant Hits 1979-1989!,2090,unknown
435,Dime Como (Comenzare),03:44,Luis Fonsi,Comenzare,,
436,Let U Go (Tocadisco Remix) (Electronic House Sensation Vol. 1),04:15,ATB,Electronic House Sensation Vol. 1,,
437,Germination (full mix),174000,Adrian James Watkins,Nu Electronica,,English
438,003-Santa Claus Is Coming to Town,2m 10sec,The Ventures,The Ventures Christmas Album (1995),null,Eng.
439,008-Functional,9m 18sec,Theloious Mo nk,Manifesto (2009),null,Eng.
440,Count Basie Big Band - John the III,237,,Live in Japan '78,,English
441,"End of June (Games, Cheats & Fakes)",00:00,Flash Forward,"Games, Cheats & Fakes",,
442,On A Drowsy Sea,222466,Tear Ceremony,An Hourglass Of Opals,1993,English
443,"Willie and Ray mambo - The Complete 78s, Volume 1: 1949-1955",3.154,Tito Puente,,'08,Spanish
444,Chapter 49,2m 11sec,John Vornholt,"The Genesis Wave, Book 1 (unknown)",null,unknown
445,Nowhere (It All Makes Sense Now),01:39,Króm,It All Makes Sense Now,2003,
446,Jesus,205000,GoodMorKningBoy,Boomsongs for Velvet,2004,English
447,Satan's Host - Into the Veil,271,,Metal From Hell,86,English
448,Goodnight Nurse - Our Song,231,,Always andNever,06,English
449,Letters FroGm Home,277000,Angie Palmer,Tales of Light and Darkness,,English
450,Kwek kwek kwek (Alfred Jodocus Kwak),04:36,Herman van Veen,Alfred Jodocus Kwak,1979,
451,045-Shop Radio 1,0m 46sec,Eirik Suhrke,Spelunky (2012),null,Eng.
452,Urine Facewash (Vivalavida),05:02,Carnival in Coal,Vivalavida,2005,
453,Chinatown (Night and Day),04:04,Joe Jackson,Night and Day,1990,
454,Turn This Club Around (feat. U-Jean) - Dream Dance 61,3.35,R.I.O.,,'11,English
455,Ma che musica maestro,196533,Raffaella Carrà,I grandi successi originali,2000,Italian
456,"003-Sonata fur Viola da Gamba und Cembalo Nr. 4 C-dur, BWV 529: III. Allegro",3m 39sec,Johann Sebastian Bach,"Die Sonaten fur Viola da gamba und Cembalo (viola da gamba: Jordi Savall, harpsichord: Ton Koopman) (1998)",null,Ger.
457,003-Why Do Fools Fall in Love,2m 18sec,Frankie Lymon & The Teenagers,Mastermix Professional Engineered for DJs A: 50s 60s 70s (unknown),null,Eng.
458,"Everytime (Nalin & Kane mix) (Dancenet, Volume 3)",08:33,Lustrla,"Dancenet, Volume 3",1997,
459,Join the Team (XXL Jingles 1),00:00,[unknown],XXL Jingles 1,,
460,Diamonds in the Mine - Greatest Hits,4.0,Leonard Cohen,,'81,English
461,013--,1m 49sec,,(1998),null,Rus.
462,How Dov You Sleep - Totally Stoned,4.933,Stone Rosses,,'98,English
463,006-Ocomber,1m 31sec,Scythelence,Appaseasonato (2011),null,Eng.
464,Nuberu - Cantar del regresu,255,,Como tú yes,,Asturian
465,Do What You Love (J. Boogie's Dubtronic Science),04:17,J. Boogie's Dubtronic Science,J. Boogie's Dubtronic Science,2003,
466,St Louis Blues March (Swing Greats),03:51,Colin Busby Big Swing Band,Swing Greats,1999,
467,She Is Love (previously unissued) - No Matter What You Say: The Best of Butch Engle & The Styx,1.842,Butch Engle & The Styx,,'00,English
468,Bom aBbom - Gör sin grej på Emmaboda,,Rocky Dennis,,,[Multiple languages]
469,Complainte de Pablo Neruda,250000,Jean Ferrat,BBest Of 3C,2009,French
470,James Copperthwaite - Honour and Achievement (q),9,,"Conferences, Awards and Presentations",,English
471,018-El bondi,0m 40sec,2 Minutos,20 anos no es nada (2007),null,Spa.
472,002-Vision,unknown,Dr. Jeffrey Thompson,Creative Mind System (2005),null,Eng.
473,12,95000,Dead,In the Bondage of Vice,,English
474,How the First Letter was Written 1/4,280746,Rudyard Kipling,Just So Stories,,English
475,"Symphony No. 35B-flat major, HOB I:35: I. Allegro di molto (The Complete Symphonies (Stuttgart Chamber Orchestra feat. conductor: Dennis Russell Davies))",05:02,Joseph Haydn,The Complete Symphonies (Stuttgart Chamber Orchestra feat. conductor: Dennis Russell Davies),2009,
476,Orquesta Broadway - Arrepientete,,,Pasaporte,,null
477,Nuit à Kingston,195000,Nuttea,Paris Kingston Parsi,1993,[Multiple languagesB]
478,001-Zero Sex,unknown,Christian Death,Zero Sex (1989),null,Eng.
479,"Franz Schubert - Symphony No. 3 in D major, D 200: II. Allegretto",244,,"The Complete Symphonies, Volume 1",95,Englisb
480,Vromb - Éclairs,345,,Rayons,03,French
481,Игорь Фёдорович Стравинский - Le Sacre du printemps: Deuxième partie. Introduction,263,,Prokofiev: Scythian Suite / Stravinsky: Le Sacre du printemps (Dallas Symphony Orchestra feat. conductor: Eduardo Mata),91,[Multiple languages]
482,"Symphonie No. 6 en fa majeur, Op. 68 ""Pastorale"": V. Allegretto: Chant des bergers. Sentiments joyeux et reconnaissants après l'orage - Ses 100 chefs-d'œuvre",6.782,Ludwig van Beethoven,,'07,French
483,Stormy ight - FlashFback Through History,,Trinity House,,'77,English
484,Ο πληθυντικός αριθμός - ΙΙΙ. Η μνήμη,18000,Τάνια Τσανακλίδου,Το μαγικό κουτί,1998,Greek
485,010-Oysters,2m 59sec,Six Ft Hick,UnAustralian (2002),null,Eng.
486,Brand New Day 2 - Feelgood,1.0,Martin Price & Andy Whitmore,,,English
487,Adolphson & Falk - Mer jul,237,,Absolute Christmas,08,[Multiple languages]
488,The Pressure - Retro Arena Top 100,2.117,eject,,'09,English
489,オンリー・マン - サクラ大戦 帝劇歌謡全集,5.715,タチバナ・マリア,,,Japanese
490,Hell on Wheels (King of the Road),04:48,Fu Manchu,King of the Road,1999,
491,That Man (Greater Things),03:15,Greater Things,Greater Things,2003,
492,Saints & Sinners - Speed of Darkness,3.524,Flogging Molly,,'11,English
493,008-Dikhel Khelel,5m 12sec,Taraf de de & Kocani Orkestar,Band of Gypsies 2 (2011),null,unknown
494,002-Assassin,3m 32sec,Simon Wilkinson,Royalty Free Music For Film & Documentary Vol. 6: Dark Matter (2011),null,unknown
